,id,core,oxstate,coord,geometry,lig,ligocc,spin,charge
0,fe_tpr_2_water_6_water_0_ammonia_0_water_0_chloride_0_methylamine_0_s_5_conf_1,Fe,2,6,tpr,"water,water,ammonia,water,chloride,methylamine","6,0,0,0,0,0",5,2
1,fe_tpr_2_pyridine_6_methylamine_0_cyanide_0_cyanide_0_pyridine_0_pyridine_0_s_5_conf_1,Fe,2,6,tpr,"pyridine,methylamine,cyanide,cyanide,pyridine,pyridine","6,0,0,0,0,0",5,2
2,fe_tpr_2_methylamine_6_cyanide_0_methylamine_0_water_0_water_0_methylamine_0_s_5_conf_1,Fe,2,6,tpr,"methylamine,cyanide,methylamine,water,water,methylamine","6,0,0,0,0,0",5,2
3,fe_tpr_2_methylamine_6_cyanide_0_ammonia_0_pyridine_0_methylamine_0_pyridine_0_s_5_conf_1,Fe,2,6,tpr,"methylamine,cyanide,ammonia,pyridine,methylamine,pyridine","6,0,0,0,0,0",5,2
4,fe_tpr_2_cyanide_6_water_0_ammonia_0_chloride_0_ammonia_0_cyanide_0_s_5_conf_1,Fe,2,6,tpr,"cyanide,water,ammonia,chloride,ammonia,cyanide","6,0,0,0,0,0",5,-4
5,fe_tpl_2_water_3_cyanide_0_ammonia_0_s_5_conf_1,Fe,2,3,tpl,"water,cyanide,ammonia","3,0,0",5,2
6,fe_tpl_2_water_3_ammonia_0_chloride_0_s_5_conf_1,Fe,2,3,tpl,"water,ammonia,chloride","3,0,0",5,2
7,fe_tpl_2_pyridine_3_chloride_0_pyridine_0_s_5_conf_1,Fe,2,3,tpl,"pyridine,chloride,pyridine","3,0,0",5,2
8,fe_tpl_2_chloride_3_ammonia_0_chloride_0_s_5_conf_1,Fe,2,3,tpl,"chloride,ammonia,chloride","3,0,0",5,-1
9,fe_tpl_2_ammonia_3_methylamine_0_chloride_0_s_5_conf_1,Fe,2,3,tpl,"ammonia,methylamine,chloride","3,0,0",5,2
10,fe_thd_2_water_4_methylamine_0_cyanide_0_chloride_0_s_5_conf_1,Fe,2,4,thd,"water,methylamine,cyanide,chloride","4,0,0,0",5,2
11,fe_thd_2_pyridine_4_ammonia_0_pyridine_0_cyanide_0_s_5_conf_1,Fe,2,4,thd,"pyridine,ammonia,pyridine,cyanide","4,0,0,0",5,2
12,fe_thd_2_methylamine_4_methylamine_0_chloride_0_cyanide_0_s_5_conf_1,Fe,2,4,thd,"methylamine,methylamine,chloride,cyanide","4,0,0,0",5,2
13,fe_thd_2_chloride_4_cyanide_0_cyanide_0_ammonia_0_s_5_conf_1,Fe,2,4,thd,"chloride,cyanide,cyanide,ammonia","4,0,0,0",5,-2
14,fe_thd_2_chloride_4_ammonia_0_chloride_0_pyridine_0_s_5_conf_1,Fe,2,4,thd,"chloride,ammonia,chloride,pyridine","4,0,0,0",5,-2
15,fe_tdhd_2_pyridine_8_ammonia_0_water_0_chloride_0_chloride_0_chloride_0_water_0_ammonia_0_s_5_conf_1,Fe,2,8,tdhd,"pyridine,ammonia,water,chloride,chloride,chloride,water,ammonia","8,0,0,0,0,0,0,0",5,2
16,fe_tdhd_2_pyridine_8_ammonia_0_cyanide_0_water_0_cyanide_0_water_0_ammonia_0_pyridine_0_s_5_conf_1,Fe,2,8,tdhd,"pyridine,ammonia,cyanide,water,cyanide,water,ammonia,pyridine","8,0,0,0,0,0,0,0",5,2
17,fe_tdhd_2_methylamine_8_methylamine_0_methylamine_0_methylamine_0_methylamine_0_chloride_0_ammonia_0_ammonia_0_s_5_conf_1,Fe,2,8,tdhd,"methylamine,methylamine,methylamine,methylamine,methylamine,chloride,ammonia,ammonia","8,0,0,0,0,0,0,0",5,2
